timestamp,OHLC_bfly,OHLC_bfnx,OHLC_bnus,OHLC_btrx,OHLC_cbse,OHLC_gmni,OHLC_itbi,OHLC_krkn,OHLC_lmax,OHLC_okcn,OHLC_stmp
2021-02-24 00:00:00,"{'Open': 48929.54, 'High': 48929.54, 'Low': 47086.89, 'Close': 47300.6}","{'Open': 48871.67, 'High': 49086.5, 'Low': 46950.92, 'Close': 47193.0}","{'Open': 48875.0, 'High': 49096.01, 'Low': 47002.63, 'Close': 47269.36}","{'Open': 48906.61, 'High': 49058.07, 'Low': 46999.65, 'Close': 47250.92}","{'Open': 48900.0, 'High': 49106.63, 'Low': 47015.64, 'Close': 47256.91}","{'Open': 48923.48, 'High': 49123.53, 'Low': 47009.56, 'Close': 47260.0}","{'Open': 48919.5, 'High': 49100.0, 'Low': 47022.75, 'Close': 47225.25}","{'Open': 48899.6, 'High': 48899.9, 'Low': 47015.7, 'Close': 47245.73}","{'Open': 48892.5, 'High': 49080.5, 'Low': 46930.99, 'Close': 47265.5}","{'Open': 48913.57, 'High': 49078.28, 'Low': 47016.63, 'Close': 47225.92}","{'Open': 48927.33, 'High': 49083.52, 'Low': 47000.0, 'Close': 47239.68}"
2021-02-24 00:30:00,"{'Open': 47399.97, 'High': 48191.14, 'Low': 47399.97, 'Close': 48191.14}","{'Open': 47166.5, 'High': 48494.33, 'Low': 47166.5, 'Close': 48485.5}","{'Open': 47272.36, 'High': 48482.38, 'Low': 47239.9, 'Close': 48480.98}","{'Open': 47289.12, 'High': 48488.0, 'Low': 47289.12, 'Close': 48488.0}","{'Open': 47245.34, 'High': 48515.07, 'Low': 47245.34, 'Close': 48492.75}","{'Open': 47255.85, 'High': 48513.17, 'Low': 47244.46, 'Close': 48513.16}","{'Open': 47270.25, 'High': 48485.25, 'Low': 47270.25, 'Close': 48485.25}","{'Open': 47225.0, 'High': 48499.0, 'Low': 47225.0, 'Close': 48498.95}","{'Open': 47248.5, 'High': 48504.0, 'Low': 47248.5, 'Close': 48504.0}","{'Open': 47372.7, 'High': 48450.6, 'Low': 47372.7, 'Close': 48450.6}","{'Open': 47275.7, 'High': 48513.29, 'Low': 47275.7, 'Close': 48513.29}"
2021-02-24 01:00:00,"{'Open': 48934.14, 'High': 48934.14, 'Low': 48798.7, 'Close': 48798.7}","{'Open': 48454.0, 'High': 49355.0, 'Low': 48413.0, 'Close': 49155.0}","{'Open': 48440.07, 'High': 49350.59, 'Low': 48440.07, 'Close': 49154.88}","{'Open': 48488.0, 'High': 49341.07, 'Low': 48453.81, 'Close': 49136.05}","{'Open': 48503.31, 'High': 49375.0, 'Low': 48440.86, 'Close': 49191.38}","{'Open': 48510.28, 'High': 49379.87, 'Low': 48462.55, 'Close': 49214.54}","{'Open': 48485.25, 'High': 49333.0, 'Low': 48447.88, 'Close': 49170.5}","{'Open': 48499.0, 'High': 49333.0, 'Low': 48474.6, 'Close': 49165.2}","{'Open': 48501.75, 'High': 49378.5, 'Low': 48438.0, 'Close': 49192.0}","{'Open': 48527.41, 'High': 49365.8, 'Low': 48476.68, 'Close': 49191.15}","{'Open': 48480.9, 'High': 49346.32, 'Low': 48434.22, 'Close': 49155.93}"
2021-02-24 01:30:00,"{'Open': 49140.16, 'High': 50161.64, 'Low': 49140.16, 'Close': 50161.64}","{'Open': 49184.5, 'High': 50227.5, 'Low': 48765.88, 'Close': 50207.43}","{'Open': 49179.26, 'High': 50214.49, 'Low': 48782.85, 'Close': 50214.49}","{'Open': 49157.91, 'High': 50216.29, 'Low': 48761.94, 'Close': 50199.99}","{'Open': 49212.05, 'High': 50313.18, 'Low': 48780.54, 'Close': 50228.45}","{'Open': 49233.05, 'High': 50253.18, 'Low': 48794.01, 'Close': 50227.97}","{'Open': 49219.0, 'High': 50208.25, 'Low': 48791.38, 'Close': 50193.17}","{'Open': 49200.65, 'High': 50200.0, 'Low': 48755.12, 'Close': 50180.4}","{'Open': 49209.5, 'High': 50232.88, 'Low': 48753.5, 'Close': 50168.57}","{'Open': 49218.55, 'High': 50201.53, 'Low': 48787.54, 'Close': 50201.53}","{'Open': 49180.68, 'High': 50232.0, 'Low': 48754.7, 'Close': 50206.74}"
2021-02-24 02:00:00,"{'Open': 49994.55, 'High': 50513.79, 'Low': 49994.55, 'Close': 50136.78}","{'Open': 50183.67, 'High': 50552.41, 'Low': 49830.35, 'Close': 50066.5}","{'Open': 50193.2, 'High': 50544.09, 'Low': 49808.2, 'Close': 50051.6}","{'Open': 50198.75, 'High': 50572.8, 'Low': 49838.02, 'Close': 50056.01}","{'Open': 50251.42, 'High': 50594.54, 'Low': 49838.14, 'Close': 50037.97}","{'Open': 50257.72, 'High': 50598.32, 'Low': 49842.67, 'Close': 50063.91}","{'Open': 50193.25, 'High': 50537.62, 'Low': 49832.25, 'Close': 50017.0}","{'Open': 50211.07, 'High': 50564.5, 'Low': 49846.7, 'Close': 50033.78}","{'Open': 50181.0, 'High': 50569.0, 'Low': 49800.12, 'Close': 50019.5}","{'Open': 50240.11, 'High': 50567.44, 'Low': 49853.89, 'Close': 50029.73}","{'Open': 50224.22, 'High': 50602.39, 'Low': 49815.26, 'Close': 50045.09}"
2021-02-24 02:30:00,NO TRADES,"{'Open': 50031.33, 'High': 50477.68, 'Low': 50031.33, 'Close': 50173.24}","{'Open': 50031.42, 'High': 50478.14, 'Low': 50031.42, 'Close': 50206.46}","{'Open': 50088.59, 'High': 50480.56, 'Low': 50060.12, 'Close': 50230.77}","{'Open': 50052.04, 'High': 50488.99, 'Low': 50050.25, 'Close': 50222.69}","{'Open': 50086.54, 'High': 50475.0, 'Low': 50059.27, 'Close': 50244.25}","{'Open': 50049.88, 'High': 50466.12, 'Low': 50027.0, 'Close': 50215.5}","{'Open': 50037.3, 'High': 50474.9, 'Low': 50037.3, 'Close': 50215.87}","{'Open': 50120.0, 'High': 50485.0, 'Low': 50033.0, 'Close': 50191.5}","{'Open': 50118.78, 'High': 50463.98, 'Low': 50043.46, 'Close': 50189.77}","{'Open': 50049.83, 'High': 50471.57, 'Low': 50049.83, 'Close': 50202.83}"
2021-02-24 03:00:00,NO TRADES,"{'Open': 50161.0, 'High': 50511.36, 'Low': 50045.82, 'Close': 50235.25}","{'Open': 50173.46, 'High': 50531.36, 'Low': 50099.21, 'Close': 50259.89}","{'Open': 50213.58, 'High': 50549.57, 'Low': 50105.15, 'Close': 50317.91}","{'Open': 50220.01, 'High': 50558.87, 'Low': 50089.65, 'Close': 50284.21}","{'Open': 50200.0, 'High': 50566.65, 'Low': 50063.43, 'Close': 50276.37}","{'Open': 50166.25, 'High': 50529.0, 'Low': 50073.0, 'Close': 50262.75}","{'Open': 50202.2, 'High': 50528.9, 'Low': 50082.03, 'Close': 50268.2}","{'Open': 50171.0, 'High': 50541.5, 'Low': 50073.75, 'Close': 50276.5}","{'Open': 50186.42, 'High': 50535.14, 'Low': 50140.5, 'Close': 50283.96}","{'Open': 50190.12, 'High': 50535.61, 'Low': 50090.0, 'Close': 50278.19}"
2021-02-24 03:30:00,"{'Open': 50948.0, 'High': 50948.0, 'Low': 50948.0, 'Close': 50948.0}","{'Open': 50230.5, 'High': 51000.07, 'Low': 50210.32, 'Close': 50902.0}","{'Open': 50257.57, 'High': 50976.25, 'Low': 50252.49, 'Close': 50898.28}","{'Open': 50319.11, 'High': 50999.99, 'Low': 50257.29, 'Close': 50949.59}","{'Open': 50285.46, 'High': 50999.3, 'Low': 50243.82, 'Close': 50934.3}","{'Open': 50276.37, 'High': 51000.0, 'Low': 50236.69, 'Close': 50954.42}","{'Open': 50282.25, 'High': 50991.25, 'Low': 50244.0, 'Close': 50913.25}","{'Open': 50268.2, 'High': 50988.66, 'Low': 50268.2, 'Close': 50928.4}","{'Open': 50254.0, 'High': 50999.5, 'Low': 50238.62, 'Close': 50929.0}","{'Open': 50299.72, 'High': 50970.65, 'Low': 50250.74, 'Close': 50968.49}","{'Open': 50301.24, 'High': 51000.0, 'Low': 50238.83, 'Close': 50939.95}"
2021-02-24 04:00:00,"{'Open': 51019.92, 'High': 51019.92, 'Low': 50740.08, 'Close': 50740.08}","{'Open': 50901.0, 'High': 51353.0, 'Low': 50649.0, 'Close': 50691.0}","{'Open': 50919.02, 'High': 51399.11, 'Low': 50689.38, 'Close': 50689.38}","{'Open': 51000.0, 'High': 51382.63, 'Low': 50721.7, 'Close': 50721.7}","{'Open': 50934.55, 'High': 51397.56, 'Low': 50701.7, 'Close': 50717.04}","{'Open': 50943.71, 'High': 51387.91, 'Low': 50692.16, 'Close': 50730.36}","{'Open': 50913.25, 'High': 51391.5, 'Low': 50696.5, 'Close': 50701.0}","{'Open': 50926.6, 'High': 51392.0, 'Low': 50722.0, 'Close': 50722.0}","{'Open': 50940.12, 'High': 51409.0, 'Low': 50707.0, 'Close': 50766.4}","{'Open': 50962.95, 'High': 51379.63, 'Low': 50676.36, 'Close': 50676.36}","{'Open': 50937.52, 'High': 51391.36, 'Low': 50689.07, 'Close': 50721.44}"
2021-02-24 04:30:00,NO TRADES,"{'Open': 50668.22, 'High': 50964.0, 'Low': 50349.92, 'Close': 50607.0}","{'Open': 50700.0, 'High': 50964.82, 'Low': 50349.55, 'Close': 50636.53}","{'Open': 50744.63, 'High': 51002.28, 'Low': 50400.0, 'Close': 50662.38}","{'Open': 50721.36, 'High': 50979.61, 'Low': 50358.54, 'Close': 50654.12}","{'Open': 50742.97, 'High': 50966.54, 'Low': 50350.01, 'Close': 50645.41}","{'Open': 50703.5, 'High': 50965.25, 'Low': 50353.5, 'Close': 50650.5}","{'Open': 50714.9, 'High': 50940.9, 'Low': 50353.35, 'Close': 50635.3}","{'Open': 50819.0, 'High': 50968.0, 'Low': 50353.25, 'Close': 50628.5}","{'Open': 50796.72, 'High': 50958.05, 'Low': 50365.76, 'Close': 50666.0}","{'Open': 50713.27, 'High': 50962.54, 'Low': 50342.26, 'Close': 50650.54}"
