timestamp,ecart_type_bfly,ecart_type_bfnx,ecart_type_bnus,ecart_type_btrx,ecart_type_cbse,ecart_type_gmni,ecart_type_itbi,ecart_type_krkn,ecart_type_lmax,ecart_type_okcn,ecart_type_stmp,Global_mean
2021-02-24 00:00:00,584.5,651.25,642.82,606.8,637.49,651.95,644.79,487.01,682.91,611.7,642.03,622.1136363636363
2021-02-24 00:30:00,307.7,293.91,280.53,274.42,263.01,241.79,263.09,299.98,269.82,273.31,274.17,276.5209090909091
2021-02-24 01:00:00,67.72,235.74,229.55,225.31,226.94,241.67,240.51,227.47,248.54,225.59,227.59,217.87545454545455
2021-02-24 01:30:00,304.41,358.37,336.28,358.01,357.64,355.78,346.22,358.67,355.47,336.92,356.08,347.62272727272733
2021-02-24 02:00:00,150.16,189.7,204.65,186.98,197.36,195.2,191.76,208.02,214.35,203.39,192.95,194.04727272727268
2021-02-24 02:30:00,NO TRADES,102.8,97.21,104.16,98.66,96.94,96.77,98.6,101.1,100.24,93.32,98.98000000000002
2021-02-24 03:00:00,NO TRADES,95.92,92.77,87.01,89.85,97.34,93.63,93.58,88.08,85.06,86.7,90.994
2021-02-24 03:30:00,0.0,234.63,227.5,222.19,239.62,247.52,238.73,237.62,233.34,235.87,234.67,213.79
2021-02-24 04:00:00,139.92,153.63,155.37,149.76,153.33,157.6,149.29,146.68,144.83,139.74,168.0,150.74090909090907
2021-02-24 04:30:00,NO TRADES,142.47,140.21,157.13,139.27,137.18,132.12,139.88,152.32,143.97,137.93,142.24800000000002
2021-02-24 05:00:00,NO TRADES,310.47,326.97,300.63,305.89,324.18,301.97,316.78,310.06,330.33,306.68,313.39599999999996
2021-02-24 05:30:00,NO TRADES,82.6,76.93,80.71,78.39,78.62,80.35,79.27,76.97,78.03,80.16,79.203
2021-02-24 06:00:00,181.0,354.03,357.43,364.53,360.42,329.57,361.72,353.39,362.39,311.09,335.17,333.7036363636364
2021-02-24 06:30:00,33.11,197.17,189.65,194.09,189.82,201.53,191.95,198.4,178.21,210.56,185.3,179.07181818181817
2021-02-24 07:00:00,0.0,149.31,149.36,151.44,151.75,150.34,150.36,142.63,155.08,128.52,144.9,133.97181818181818
2021-02-24 07:30:00,NO TRADES,124.71,114.54,123.5,113.86,116.91,115.2,112.45,119.18,122.71,113.83,117.689
2021-02-24 08:00:00,245.28,265.85,237.55,258.25,256.92,262.46,272.57,249.1,241.39,270.12,253.21,255.7
